,Code,Year,Month,Day,Reason,Penalised_In,Rating,Rank,Name,End_Date
0,JUNE18B,2018,6,11,None,None,1546,2523,June Challenge 2018 Division 2,2018-06-11 15:00:05
1,QUCO2018,2018,6,12,None,None,1357,1123,Quick Code (Rated for Division 2),2018-06-12 23:30:00
2,COOK95B,2018,6,18,None,None,1267,1847,June Cook-Off 2018 Division 2,2018-06-18 00:00:05
3,LTIME61B,2018,6,30,None,None,1442,685,June Lunchtime 2018 Division 2,2018-06-30 22:30:05
4,JULY18B,2018,7,16,None,None,1574,1202,July Challenge 2018 Division 2,2018-07-16 15:00:10
5,AUG18B,2018,8,13,None,None,1661,575,August Challenge 2018 Division 2,2018-08-13 15:00:05
6,PCJ2018,2018,8,13,None,None,1697,145,ProCon Junior (Rated for Division 2),2018-08-13 21:30:00
7,PROC2018,2018,8,16,None,None,1687,674,ProCon 2018 (Rated for all),2018-08-16 23:30:00
8,LTIME63B,2018,8,25,None,None,1643,842,August Lunchtime 2018 Division 2,2018-08-25 22:30:02
9,SEPT18B,2018,9,17,None,None,1654,1892,September Challenge 2018 Division 2,2018-09-17 15:00:02
10,LTIME64B,2018,9,29,None,None,1642,1025,September Lunchtime 2018 Division 2,2018-09-29 22:30:02
11,OCT18B,2018,10,20,None,None,1718,1202,October Challenge 2018 Division 2,2018-10-20 15:00:03
12,COOK99B,2018,10,22,None,None,1700,619,October Mega Cook-Off 2018 Division 2,2018-10-22 00:00:02
13,LTIME65B,2018,10,27,None,None,1674,761,October Lunchtime 2018 Division 2,2018-10-27 22:30:01
14,NOV18B,2018,11,12,None,None,1725,832,November Challenge 2018 Division 2,2018-11-12 15:00:02
15,DEC18B,2018,12,18,None,None,1839,215,December Challenge 2018 Division 2,2018-12-18 01:02:02
16,COOK101A,2018,12,24,None,None,1923,136,December Cook-Off 2018 Division 1,2018-12-24 00:00:00
17,LTIME67A,2018,12,29,None,None,1825,260,December Lunchtime 2018 Division 1,2018-12-29 22:30:00
18,JAN19A,2019,1,14,None,None,1904,489,January Challenge 2019 Division 1,2019-01-14 15:00:00
19,COOK102A,2019,1,21,None,None,1928,193,January Cook-Off 2019 Division 1,2019-01-21 00:00:00
20,LTIME68A,2019,1,26,None,None,1861,229,January Lunchtime 2019 Division 1,2019-01-26 22:30:00
21,FEB19A,2019,2,13,None,None,1971,328,February Challenge 2019 Division 1,2019-02-13 15:00:00
22,MARCH19A,2019,3,13,None,None,1957,341,March Challenge 2019 Division 1,2019-03-13 15:00:00
23,MAY19A,2019,5,13,None,None,1881,260,May Challenge 2019 Division 1,2019-05-13 15:00:00
24,COOK106A,2019,5,20,None,None,1742,354,May Cook-Off 2019 Division 1,2019-05-20 00:00:00
